ID,R%,Dipole,HOMO,LUMO,HOMO/LUMO,electronegativity,hardness,electrophilicity,BL6 & 17,BL6 & 18,BL7 & 8,BL7 & 9,BL11 & 10,BL2 & 16,BL3 & 7,"BA17, 6, & 18","BA8, 7, & 9","BA3, 7, & 6","BA3, 7, & 9","BA3, 7, & 8","BA16, 11, & 10","BA12, 11, & 10","BA3, 2, & 16","BA5, 6, & 7","DA1, 2, 16 & 11",BO6 & 17,BO6 & 18,BO7 & 8,BO7 & 9,BO11 & 10,BO2 & 16,BO3 & 7,charge1,charge2,charge3,charge4,charge5,charge6,charge7,charge8,charge9,charge10,charge11,charge12,charge13,charge14,charge15,charge16,charge17,charge18,core1,core2,core3,core4,core5,core6,core7,core8,core9,core10,core11,core12,core13,core14,core15,core16,core17,core18,valence1,valence2,valence3,valence4,valence5,valence6,valence7,valence8,valence9,valence10,valence11,valence12,valence13,valence14,valence15,valence16,valence17,valence18,Rydberg1,Rydberg2,Rydberg3,Rydberg4,Rydberg5,Rydberg6,Rydberg7,Rydberg8,Rydberg9,Rydberg10,Rydberg11,Rydberg12,Rydberg13,Rydberg14,Rydberg15,Rydberg16,Rydberg17,Rydberg18,total1,total2,total3,total4,total5,total6,total7,total8,total9,total10,total11,total12,total13,total14,total15,total16,total17,total18,NMR1,NMR2,NMR3,NMR4,NMR5,NMR6,NMR7,NMR8,NMR9,NMR10,NMR11,NMR12,NMR13,NMR14,NMR15,NMR16,NMR17,NMR18,L 6 & 17,B1 6 & 17,B5 6 & 17,L 6 & 18,B1 6 & 18,B5 6 & 18,L 7 & 8,B1 7 & 8,B5 7 & 8,L 2 & 16,B1 2 & 16,B5 2 & 16,BV9
v1,1,2.7215,-0.15876,-0.03691,-0.12185,0.09784,0.06093,0.07855,1.5228,1.1012,1.9211,2.2193,1.3811,1.4958,1.8501,108.6404,116.3864,86.0178,121.5377,103.9235,119.8825,118.534,123.1354,107.4334,106.7926,1.0154,0.8871,0.825,0.6293,0.951,0.9982,0.8717,-0.23954,-0.0142,-0.40039,0.33571,-0.53833,-0.20832,0.91135,-0.33692,-0.1078,-0.55709,0.34598,-0.27379,-0.48743,-0.30633,0.3482,-0.11955,-0.47582,0.24263,1.99888,1.9988,1.99868,1.99853,1.99968,1.99901,9.99842,1.99902,35.99035,1.99968,1.99846,1.99881,1.99893,1.99887,1.99855,1.99869,1.99912,0,4.2274,3.99443,4.37678,3.64033,6.52502,4.18218,4.02545,4.31863,10.11062,6.54555,3.63238,4.25976,4.4643,4.29441,3.63133,4.10358,4.46418,0.75459,0.01326,0.02097,0.02493,0.02543,0.01363,0.02714,0.06477,0.01928,0.00683,0.01187,0.02318,0.01522,0.0242,0.01305,0.02192,0.01728,0.01252,0.00278,6.23954,6.0142,6.40039,5.66429,8.53833,6.20832,14.08865,6.33692,46.1078,8.55709,5.65402,6.27379,6.48743,6.30633,5.6518,6.11955,6.47582,0.75737,71.5554,55.7757,67.5059,33.8173,181.6442,98.3338,311.1816,148.4792,109.3201,263.9043,37.7549,73.7094,55.6625,84.5125,40.7106,67.4824,164.5593,27.6651,4.694,1.7,3.258,2.591,1.09,1.09,5.135,2.836,3.286,9.492,2.926,5.448,0.38
V2,1,2.1985,-0.16493,-0.04366,-0.12127,0.10429,0.06063,0.0897,1.0936,1.5254,1.919,2.2278,1.3629,1.4956,1.8387,110.1395,114.3665,87.9929,122.9889,105.4305,115.3768,123.6423,122.7628,107.5445,101.5473,0.8994,1.0234,0.8288,0.6339,1.0121,0.9938,0.8856,-0.23214,-0.00347,-0.4129,0.33744,-0.5319,-0.20244,0.91549,-0.33243,-0.13484,-0.51457,0.36512,-0.33873,-0.198,-0.34052,0.35121,-0.13604,0.23958,-0.69349,1.99887,1.9988,1.99867,1.99852,1.99968,1.99903,9.99837,1.99902,35.99046,1.99965,1.99855,1.99888,1.99896,1.99888,1.99856,1.99873,0,1.99925,4.21998,3.98336,4.39034,3.63839,6.51877,4.17746,4.02374,4.31433,10.13834,6.50349,3.61432,4.32714,4.18453,4.32906,3.6286,4.11938,0.75841,4.68318,0.0133,0.02131,0.02389,0.02566,0.01344,0.02595,0.0624,0.01908,0.00603,0.01143,0.02202,0.01271,0.0145,0.01257,0.02164,0.01793,0.00201,0.01106,6.23214,6.00347,6.4129,5.66256,8.5319,6.20244,14.08451,6.33243,46.13484,8.51457,5.63488,6.33873,6.198,6.34052,5.64879,6.13604,0.76042,6.69349,71.4312,54.6324,72.1749,35.3682,177.6583,110.816,296.1035,149.2039,117.2537,229.2496,39.3591,92.7068,67.2845,93.2601,40.0453,74.6455,27.6901,166.734,2.584,1.09,1.09,3.625,1.7,2.121,5.112,2.85,3.291,6.876,1.931,5.444,0.412
V3,1,2.023,-0.16458,-0.04378,-0.1208,0.10418,0.0604,0.08985,1.5181,1.1002,1.9204,2.2279,1.3625,1.4953,1.8478,108.926,114.2827,86.1005,124.0011,104.2674,115.413,123.5979,122.8403,107.3779,104.5003,1.03,0.888,0.8278,0.6373,1.0127,0.9965,0.8794,-0.22897,-0.0056,-0.40343,0.33382,-0.53591,-0.20692,0.91599,-0.33646,-0.13826,-0.51479,0.36598,-0.33853,-0.19788,-0.341,0.35154,-0.13648,-0.69146,0.24353,1.99887,1.9988,1.99868,1.99852,1.99968,1.99904,9.99839,1.99902,35.99049,1.99965,1.99855,1.99888,1.99896,1.99888,1.99856,1.99874,1.99922,0,4.21682,3.98572,4.38061,3.6423,6.52258,4.18193,4.02212,4.31822,10.14147,6.5037,3.61342,4.32693,4.18441,4.32953,3.62823,4.11997,4.68153,0.7538,0.01327,0.02108,0.02414,0.02536,0.01365,0.02594,0.06349,0.01922,0.0063,0.01145,0.02206,0.01272,0.01451,0.01259,0.02166,0.01777,0.0107,0.00266,6.22897,6.0056,6.40343,5.66618,8.53591,6.20692,14.08401,6.33646,46.13826,8.51479,5.63402,6.33853,6.19788,6.341,5.64846,6.13648,6.69146,0.75647,70.8943,54.8541,67.9918,33.8027,177.6881,104.2162,308.254,148.154,116.5654,229.2584,39.1756,92.6767,67.2901,93.3129,40.3633,74.7472,173.4037,27.5496,3.618,1.7,2.124,2.59,1.09,1.09,5.128,2.836,3.287,6.877,1.944,5.445,0.394
V4,1,2.7219,-0.159,-0.03666,-0.12234,0.09783,0.06117,0.07823,1.5228,1.1012,1.9211,2.2191,1.3801,1.4963,1.8502,108.6416,116.2309,86.0194,121.7065,103.9536,119.8161,118.5953,123.1398,107.43,106.4465,1.0154,0.8872,0.8251,0.6303,0.9528,0.9974,0.8719,-0.23992,-0.0137,-0.4004,0.33579,-0.53834,-0.20835,0.91179,-0.33694,-0.10673,-0.55656,0.34579,-0.2938,-0.20773,-0.32753,0.34786,-0.12718,-0.47596,0.24264,1.99888,1.9988,1.99868,1.99853,1.99968,1.99901,9.99842,1.99902,35.99034,1.99967,1.99849,1.99883,1.99896,1.99889,1.99857,1.9987,1.99912,0,4.22777,3.99383,4.37678,3.64025,6.52503,4.1822,4.02512,4.31864,10.10961,6.54498,3.63284,4.28063,4.19461,4.31615,3.63193,4.11134,4.46431,0.75458,0.01328,0.02106,0.02494,0.02543,0.01363,0.02714,0.06468,0.01928,0.00678,0.01191,0.02289,0.01434,0.01416,0.01249,0.02164,0.01714,0.01253,0.00278,6.23992,6.0137,6.4004,5.66421,8.53834,6.20835,14.08821,6.33694,46.10673,8.55656,5.65421,6.2938,6.20773,6.32753,5.65214,6.12718,6.47596,0.75736,71.4304,55.815,67.414,33.763,181.5857,98.3414,311.3283,148.4413,109.4306,262.9542,36.7946,79.9343,67.0223,90.0031,40.0352,68.3438,164.551,27.6577,4.694,1.7,3.258,2.591,1.09,1.09,5.135,2.836,3.286,6.889,1.724,5.45,0.38
V5,1,1.9199,-0.16426,-0.04357,-0.12069,0.10391,0.06034,0.08947,1.5223,1.1013,1.921,2.2282,1.3625,1.4953,1.848,108.7217,114.2649,86.1382,124.1443,104.1221,115.4116,123.5964,122.8393,107.2544,104.5826,1.0163,0.8866,0.8277,0.637,1.0128,0.9965,0.8789,-0.22877,-0.00569,-0.40248,0.33449,-0.53892,-0.20257,0.92187,-0.33588,-0.14018,-0.51474,0.3661,-0.33843,-0.19789,-0.34101,0.35154,-0.13645,-0.47597,0.24214,1.99887,1.9988,1.99868,1.99852,1.99968,1.99901,9.9984,1.99902,35.99047,1.99965,1.99855,1.99888,1.99896,1.99888,1.99856,1.99874,1.99911,0,4.21663,3.98583,4.37969,3.64166,6.52569,4.17663,4.01672,4.3177,10.14342,6.50364,3.61329,4.32683,4.18442,4.32954,3.62824,4.11996,4.46317,0.75505,0.01327,0.02106,0.02411,0.02532,0.01355,0.02693,0.063,0.01916,0.00629,0.01145,0.02206,0.01272,0.0145,0.01259,0.02166,0.01776,0.01369,0.00281,6.22877,6.00569,6.40248,5.66551,8.53892,6.20257,14.07813,6.33588,46.14018,8.51474,5.6339,6.33843,6.19789,6.34101,5.64846,6.13645,6.47597,0.75786,70.8449,54.9517,68.359,33.993,181.5062,99.3469,307.1053,148.0608,117.1762,229.2647,39.1609,92.6579,67.2717,93.3318,40.3891,74.7628,156.5398,27.6763,5.75,1.7,3.523,2.591,1.09,1.09,5.129,2.836,3.286,6.877,1.947,5.445,0.394
V6,1,3.0399,-0.15989,-0.03739,-0.1225,0.09864,0.06125,0.07943,1.5217,1.1011,1.921,2.2187,1.3801,1.4963,1.8504,108.7685,116.3243,85.9696,121.686,104.0079,119.7563,118.6581,123.135,107.4795,106.3204,1.0157,0.8868,0.8256,0.6299,0.9527,0.9972,0.8715,-0.23931,-0.01318,-0.4,0.33532,-0.53952,-0.20636,0.91273,-0.33682,-0.10566,-0.55658,0.34575,-0.29402,-0.20755,-0.32742,0.34796,-0.12738,-0.46648,0.24288,1.99888,1.9988,1.99868,1.99853,1.99968,1.999,9.99842,1.99902,35.99033,1.99967,1.99849,1.99883,1.99896,1.99889,1.99857,1.9987,1.9991,0,4.22716,3.99329,4.37636,3.64079,6.52628,4.1802,4.02421,4.31855,10.10853,6.545,3.63289,4.28087,4.19442,4.31604,3.63183,4.11152,4.45389,0.75437,0.01327,0.02109,0.02495,0.02537,0.01356,0.02716,0.06464,0.01925,0.0068,0.0119,0.02288,0.01432,0.01417,0.01249,0.02164,0.01716,0.01349,0.00276,6.23931,6.01318,6.4,5.66468,8.53952,6.20636,14.08727,6.33682,46.10566,8.55658,5.65425,6.29402,6.20755,6.32742,5.65204,6.12738,6.46648,0.75712,71.351,55.7287,67.3621,33.8934,181.2136,99.3404,311.4153,148.3546,109.0907,263.1153,36.7844,79.9578,66.9502,89.9992,40.0111,68.3735,153.5531,27.5298,9.018,1.7,3.714,2.591,1.09,1.09,5.134,2.836,3.286,6.888,1.724,5.449,0.38
V7,1,2.7202,-0.15873,-0.03643,-0.1223,0.09758,0.06115,0.07786,1.5222,1.0992,1.9212,2.2191,1.3801,1.4964,1.8506,109.5219,116.2642,85.9739,121.6436,103.919,119.8192,118.5896,123.1589,107.4193,106.5073,1.0161,0.8867,0.8249,0.6302,0.9527,0.9974,0.8713,-0.2398,-0.01376,-0.40015,0.33559,-0.53918,-0.20285,0.91364,-0.33703,-0.10798,-0.55655,0.3458,-0.29373,-0.20772,-0.3275,0.34786,-0.12708,-0.47621,0.24222,1.99888,1.9988,1.99868,1.99853,1.99968,1.999,9.99842,1.99902,35.99033,1.99967,1.99848,1.99883,1.99896,1.99889,1.99857,1.9987,1.9991,0,4.22765,3.9939,4.3765,3.64047,6.52587,4.1766,4.02347,4.31878,10.11084,6.54497,3.63282,4.28056,4.1946,4.31612,3.63194,4.11125,4.46184,0.75512,0.01327,0.02106,0.02497,0.02542,0.01363,0.02725,0.06446,0.01923,0.00681,0.01191,0.0229,0.01434,0.01417,0.01249,0.02164,0.01714,0.01528,0.00266,6.2398,6.01376,6.40015,5.66441,8.53918,6.20285,14.08636,6.33703,46.10798,8.55655,5.6542,6.29373,6.20772,6.3275,5.65214,6.12708,6.47621,0.75778,71.3952,55.815,67.2871,33.7958,182.1766,102.3277,311.3553,148.3836,109.6011,262.9163,36.7798,79.9234,67.0227,90.0045,40.021,68.2986,151.474,27.4269,5.782,1.7,4.51,2.589,1.09,1.09,5.135,2.835,3.286,6.889,1.725,5.449,0.38
V8,1,2.6308,-0.1585,-0.03625,-0.12225,0.09738,0.06112,0.07756,1.5226,1.0993,1.921,2.2192,1.3801,1.4964,1.8506,109.5768,116.2089,85.9985,121.6374,103.9621,119.799,118.6111,123.1495,107.402,106.384,1.016,0.8866,0.8249,0.6303,0.9527,0.9972,0.8713,-0.23992,-0.01368,-0.40016,0.33582,-0.53906,-0.20174,0.91424,-0.33712,-0.10868,-0.55646,0.34582,-0.29381,-0.20775,-0.3275,0.34782,-0.12696,-0.47108,0.24218,1.99888,1.9988,1.99868,1.99853,1.99968,1.999,9.99842,1.99902,35.99033,1.99967,1.99848,1.99883,1.99896,1.99889,1.99857,1.9987,1.9991,0,4.22777,3.99381,4.37651,3.64023,6.52574,4.1755,4.02292,4.31887,10.11153,6.54488,3.6328,4.28065,4.19463,4.31613,3.63198,4.11111,4.45662,0.75518,0.01327,0.02107,0.02496,0.02543,0.01364,0.02724,0.06442,0.01923,0.00682,0.01191,0.0229,0.01433,0.01417,0.01249,0.02163,0.01715,0.01536,0.00264,6.23992,6.01368,6.40016,5.66418,8.53906,6.20174,14.08576,6.33712,46.10868,8.55646,5.65418,6.29381,6.20775,6.3275,5.65218,6.12696,6.47108,0.75782,71.4614,55.8355,67.2597,33.8118,181.4591,103.1805,310.7621,148.3911,109.8576,263.0112,36.7939,79.9445,67.0269,90.0047,40.0149,68.3048,151.5881,27.4566,6.928,1.7,5.741,2.589,1.09,1.09,5.136,2.836,3.286,6.889,1.724,5.45,0.38
V9,1,2.8169,-0.15917,-0.03684,-0.12233,0.09801,0.06117,0.07852,1.5241,1.0988,1.9221,2.2192,1.3801,1.4963,1.8497,109.5609,116.2165,86.0271,121.7412,103.821,119.808,118.6055,123.1382,107.0955,106.5624,1.0171,0.8865,0.825,0.6308,0.9527,0.9974,0.8708,-0.23931,-0.01348,-0.40048,0.33501,-0.54039,-0.20109,0.91321,-0.33668,-0.10829,-0.5565,0.34581,-0.29374,-0.20766,-0.32746,0.34797,-0.12718,-0.47679,0.2437,1.99888,1.9988,1.99868,1.99853,1.99968,1.99899,9.99843,1.99902,35.9903,1.99967,1.99848,1.99883,1.99896,1.99889,1.99857,1.9987,1.99908,0,4.22716,3.99361,4.37683,3.64103,6.52686,4.17469,4.02407,4.31839,10.11116,6.54492,3.63281,4.28057,4.19453,4.31608,3.63183,4.11135,4.46116,0.75363,0.01327,0.02107,0.02497,0.02543,0.01386,0.0274,0.0643,0.01927,0.00682,0.01191,0.0229,0.01434,0.01417,0.01249,0.02164,0.01714,0.01656,0.00267,6.23931,6.01348,6.40048,5.66499,8.54039,6.20109,14.08679,6.33668,46.10829,8.5565,5.65419,6.29374,6.20766,6.32746,5.65203,6.12718,6.47679,0.7563,71.3041,55.9061,67.8034,33.4589,180.1581,101.533,306.6951,148.2042,110.413,262.9745,36.7929,79.9207,67.0163,89.9732,40.0177,68.3446,147.7558,27.3254,5.857,1.7,4.494,2.589,1.09,1.09,5.136,2.836,3.284,6.889,1.726,5.449,0.381
V10,1,2.914,-0.15962,-0.03744,-0.12218,0.09853,0.06109,0.07946,1.522,1.0986,1.9213,2.2193,1.3798,1.4963,1.8502,109.2867,116.3926,85.9159,121.9343,103.9164,119.8642,118.5603,123.1148,107.5007,106.8283,1.0129,0.8819,0.8253,0.6294,0.9533,0.9977,0.8713,-0.23946,-0.01375,-0.39976,0.33649,-0.54046,-0.20849,0.91434,-0.33665,-0.11043,-0.55647,0.34612,-0.29335,-0.20767,-0.32753,0.3479,-0.12753,-0.46484,0.25293,1.99888,1.9988,1.99868,1.99853,1.99968,1.99899,9.99842,1.99902,35.99033,1.99967,1.99848,1.99883,1.99896,1.99889,1.99857,1.9987,1.9991,0,4.22731,3.99391,4.37609,3.63958,6.52713,4.18244,4.02246,4.3184,10.11313,6.54489,3.63248,4.28017,4.19455,4.31615,3.6319,4.11172,4.45086,0.74447,0.01328,0.02105,0.02499,0.0254,0.01365,0.02707,0.06478,0.01923,0.00697,0.01191,0.02291,0.01435,0.01416,0.01249,0.02164,0.01711,0.01488,0.0026,6.23946,6.01375,6.39976,5.66351,8.54046,6.20849,14.08566,6.33665,46.11043,8.55647,5.65388,6.29335,6.20767,6.32753,5.6521,6.12753,6.46484,0.74707,71.3956,55.9214,67.4915,33.9972,183.7504,102.8544,312.4306,148.3962,109.0621,262.9007,36.8428,79.8746,67.0467,90.0058,40.0507,68.4699,152.1504,27.5669,8.958,1.7,7.358,2.589,1.09,1.09,5.135,2.837,3.285,6.889,1.726,5.45,0.385
